url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
39,20,11,0,3,0,0,3,0,0,0,0,0,0,0.0,1,0,1,1,0,0,3.771669848614623,0,0
199,14,177,0,3,20,0,8,0,0,0,0,0,17,0.08542713567839195,1,0,1,6,0,0,4.598772057513451,0,0
37,10,19,0,1,2,0,5,0,0,0,0,0,8,0.21621621621621623,1,0,0,2,0,0,4.280682339234349,0,0
159,14,71,65,3,4,0,8,0,1,3,2,0,26,0.16352201257861634,1,0,1,6,0,0,4.9966747374221665,0,0
66,10,48,0,3,0,0,5,0,0,1,0,7,21,0.3181818181818182,1,0,1,3,0,0,4.215314773369953,0,0
64,18,39,0,3,0,0,7,0,0,0,0,0,4,0.0625,0,0,1,5,0,0,4.515069336880353,0,0
37,28,1,0,2,1,0,3,0,0,0,0,0,6,0.16216216216216217,1,0,1,0,1,0,4.574054041187684,0,1
166,17,9,131,4,4,0,3,0,1,1,0,12,38,0.2289156626506024,1,0,1,1,0,0,4.988759707524247,0,0
27,18,1,0,2,0,0,3,0,0,0,0,0,2,0.07407407407407407,1,0,1,0,0,0,3.930270372293454,0,1
58,22,28,0,2,3,0,4,0,0,0,0,0,3,0.05172413793103448,1,0,1,2,1,0,4.551525175975548,0,0
92,32,53,0,5,9,0,5,0,0,0,0,0,0,0.0,0,0,4,2,0,0,4.358902212816664,0,0
113,19,86,0,2,9,0,9,0,0,0,0,1,10,0.08849557522123894,1,0,1,7,0,0,4.525882750695284,0,0
41,19,1,12,2,0,1,3,0,1,1,0,0,5,0.12195121951219512,1,0,1,0,0,0,4.5706090166549025,0,0
189,37,52,91,3,5,12,4,1,1,4,4,0,11,0.0582010582010582,1,0,1,2,1,0,5.257338317007552,0,1
67,10,49,0,3,5,0,5,0,0,0,0,0,9,0.13432835820895522,1,0,1,3,0,0,4.483801601377998,0,0
84,76,0,0,3,1,0,2,0,0,0,0,0,13,0.15476190476190477,1,0,2,0,1,0,4.671348971886048,0,1
33,24,1,0,2,1,0,3,0,0,0,0,0,6,0.18181818181818182,1,0,1,0,1,0,4.1272831343132905,0,1
55,15,32,0,2,3,0,6,0,0,0,0,0,0,0.0,1,0,1,3,0,0,4.230737667794764,0,0
75,24,43,0,6,0,0,4,0,0,0,0,0,15,0.2,1,0,2,2,0,1,4.594880857909424,0,1
129,18,49,53,2,0,0,6,0,1,2,1,0,13,0.10077519379844961,1,0,1,4,0,0,5.433226143097824,0,0
64,14,42,0,2,4,0,6,0,0,0,0,0,0,0.0,1,0,1,4,0,0,4.3256481953738835,0,0
44,12,24,0,2,0,0,5,0,0,0,0,0,0,0.0,1,0,1,3,0,0,4.123729347428958,0,0
