,url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_digits,digit_ratio,subdomain_depth,path_depth,shannon_entropy,suspicious_keyword_count,Label
url_length,1.0,0.03,0.294,0.658,0.397,0.267,0.838,0.197,0.071,0.213,0.408,0.281,-0.081
hostname_length,0.03,1.0,-0.145,-0.05,0.252,-0.006,0.037,0.146,0.557,-0.223,0.169,-0.019,0.329
path_length,0.294,-0.145,1.0,-0.012,0.162,0.5,0.181,0.093,0.0,0.678,0.391,0.031,-0.128
query_length,0.658,-0.05,-0.012,1.0,0.465,0.165,0.749,0.224,0.016,0.037,0.386,0.409,-0.118
num_dots,0.397,0.252,0.162,0.465,1.0,0.139,0.409,0.206,0.522,0.182,0.326,0.342,-0.117
num_hyphens,0.267,-0.006,0.5,0.165,0.139,1.0,0.159,0.016,0.06,0.272,0.211,0.088,-0.232
num_digits,0.838,0.037,0.181,0.749,0.409,0.159,1.0,0.458,0.048,0.136,0.334,0.298,-0.07
digit_ratio,0.197,0.146,0.093,0.224,0.206,0.016,0.458,1.0,0.048,0.108,0.386,0.081,-0.025
subdomain_depth,0.071,0.557,0.0,0.016,0.522,0.06,0.048,0.048,1.0,0.001,0.157,0.022,0.013
path_depth,0.213,-0.223,0.678,0.037,0.182,0.272,0.136,0.108,0.001,1.0,0.377,0.06,-0.34
shannon_entropy,0.408,0.169,0.391,0.386,0.326,0.211,0.334,0.386,0.157,0.377,1.0,0.181,0.008
suspicious_keyword_count,0.281,-0.019,0.031,0.409,0.342,0.088,0.298,0.081,0.022,0.06,0.181,1.0,0.004
Label,-0.081,0.329,-0.128,-0.118,-0.117,-0.232,-0.07,-0.025,0.013,-0.34,0.008,0.004,1.0
