Type,Model,Params (M),Trained Params (M),Test Distribution,Accuracy,Precision,Recall,F1 Score,Roc Auc Score,FPR,FNR,TN,FP,FN,TP,ms per URL,Efficiency (f1-score/M parameter)
Deep,CNN-Fasttext,5.339861,0.626561,test_balanced_50_50,0.9954,0.9936,0.9972,0.9954,0.9954,0.0064,0.0028,8168,53,23,8198,0.9155,1.588649963
Deep,CNN-BiLSTM,0.360449,0.354561,test_balanced_50_50,0.9936,0.9931,0.994,0.9936,0.9936,0.0069,0.006,8164,57,49,8172,5.0554,2.802215221
Deep,Hybrid Fusion Top 50,0.192257,0.186369,test_balanced_50_50,0.9935,0.996,0.991,0.9935,0.9935,0.004,0.009,8188,33,74,8147,1.8247,5.33069345
Deep,Char-CNN,0.179329,0.173441,test_balanced_50_50,0.9934,0.9967,0.9901,0.9934,0.9934,0.0033,0.0099,8194,27,81,8140,1.9569,5.727652701
Deep,Hybrid Fusion Top 25,0.192001,0.186113,test_balanced_50_50,0.9933,0.9958,0.9908,0.9933,0.9933,0.0041,0.0092,8187,34,76,8145,2.0499,5.337040846
Deep,Hybrid Fusion-Full,0.193153,0.187265,test_balanced_50_50,0.9931,0.9973,0.9888,0.993,0.9931,0.0027,0.0112,8199,22,92,8129,2.0842,5.302842989
Classical,Stacking Ensemble,,,test_balanced_50_50,0.9576,0.969,0.9455,0.9571,0.9918,0.0303,0.0545,7972,249,448,7773,0.1414,
Classical,RF (no handling),,,test_balanced_50_50,0.9563,0.971,0.9408,0.9556,0.9919,0.0281,0.0592,7990,231,487,7734,0.1457,
Classical,XGB (weighted),,,test_balanced_50_50,0.955,0.9607,0.9488,0.9547,0.9904,0.0388,0.0512,7902,319,421,7800,0.011,
Deep,Hybrid Fusion-Full,0.193153,0.187265,test_imbalanced_80_20,0.9962,0.9897,0.9915,0.9906,0.9944,0.0026,0.0085,11217,29,24,2787,1.9564,5.289729136
Deep,Char-CNN,0.179329,0.173441,test_imbalanced_80_20,0.9952,0.9855,0.9908,0.9881,0.9936,0.0036,0.0092,11205,41,26,2785,2.075,5.697120319
Deep,Hybrid Fusion Top 50,0.192257,0.186369,test_imbalanced_80_20,0.9952,0.9834,0.9925,0.988,0.9942,0.0042,0.0075,11199,47,21,2790,1.8091,5.301098036
Deep,Hybrid Fusion Top 25,0.192001,0.186113,test_imbalanced_80_20,0.995,0.9834,0.9918,0.9876,0.9938,0.0042,0.0082,11199,47,23,2788,2.0425,5.306463503
Deep,CNN-Fasttext,5.339861,0.626561,test_imbalanced_80_20,0.9938,0.9726,0.9972,0.9847,0.9951,0.007,0.0028,11167,79,8,2803,0.7805,1.571623633
Deep,CNN-BiLSTM,0.360449,0.354561,test_imbalanced_80_20,0.9929,0.9715,0.9936,0.9824,0.9932,0.0073,0.0064,11164,82,18,2793,4.6554,2.770786815
Classical,RF (no handling),,,test_imbalanced_80_20,0.9652,0.893,0.9385,0.9152,0.9914,0.0281,0.0615,10930,316,173,2638,0.1457,
Classical,Stacking Ensemble,,,test_imbalanced_80_20,0.9647,0.8873,0.9434,0.9145,0.9911,0.03,0.0566,10909,337,159,2652,0.1414,
Classical,XGB (weighted),,,test_imbalanced_80_20,0.9585,0.8607,0.9452,0.901,0.9899,0.0382,0.0548,10816,430,154,2657,0.011,
Deep,CNN-Fasttext,5.339861,0.626561,test_original,0.9948,0.9905,0.9972,0.9938,0.9951,0.007,0.0028,11167,79,23,8198,0.7775,1.586146333
Deep,Char-CNN,0.179329,0.173441,test_original,0.9937,0.995,0.9901,0.9926,0.9933,0.0036,0.0099,11205,41,81,8140,2.0375,5.722763837
Deep,Hybrid Fusion-Full,0.193153,0.187265,test_original,0.9938,0.9964,0.9888,0.9926,0.9931,0.0026,0.0112,11217,29,92,8129,1.9102,5.300576678
Deep,Hybrid Fusion Top 50,0.192257,0.186369,test_original,0.9938,0.9943,0.991,0.9926,0.9934,0.0042,0.009,11199,47,74,8147,1.9991,5.326147016
Deep,Hybrid Fusion Top 25,0.192001,0.186113,test_original,0.9937,0.9943,0.9908,0.9925,0.9933,0.0042,0.0092,11199,47,76,8145,1.9038,5.332813615
Deep,CNN-BiLSTM,0.360449,0.354561,test_original,0.9933,0.9901,0.994,0.992,0.9934,0.0073,0.006,11164,82,49,8172,6.2729,2.797962998
Classical,Stacking Ensemble,,,test_original,0.9597,0.9584,0.9455,0.9519,0.9918,0.03,0.0545,10909,337,448,7773,0.1414,
Classical,RF (no handling),,,test_original,0.9588,0.9607,0.9408,0.9506,0.9919,0.0281,0.0592,10930,316,487,7734,0.1457,
Classical,XGB (weighted),,,test_original,0.9563,0.9478,0.9488,0.9483,0.9905,0.0382,0.0512,10816,430,421,7800,0.011,
