dataset,accuracy,precision,recall,f1,auc_roc,fpr,fnr,tp,fp,fn,tn,model,train_sec
validation,0.837,0.8258,0.7783,0.8014,0.9087,0.12,0.2217,6398,1350,1822,9896,LR (no handling),4.88
test_original,0.8411,0.8295,0.7852,0.8067,0.9115,0.118,0.2148,6455,1327,1766,9919,LR (no handling),4.88
test_balanced_50_50,0.8335,0.8692,0.7852,0.8251,0.9111,0.1181,0.2148,6455,971,1766,7250,LR (no handling),4.88
test_imbalanced_80_20,0.8614,0.6226,0.7787,0.692,0.9112,0.118,0.2213,2189,1327,622,9919,LR (no handling),4.88
validation,0.9565,0.9583,0.9377,0.9479,0.9914,0.0298,0.0623,7708,335,512,10911,RF (no handling),51.1
test_original,0.9588,0.9607,0.9408,0.9506,0.9919,0.0281,0.0592,7734,316,487,10930,RF (no handling),51.1
test_balanced_50_50,0.9563,0.971,0.9408,0.9556,0.9919,0.0281,0.0592,7734,231,487,7990,RF (no handling),51.1
test_imbalanced_80_20,0.9652,0.893,0.9385,0.9152,0.9914,0.0281,0.0615,2638,316,173,10930,RF (no handling),51.1
validation,0.9522,0.9507,0.9353,0.9429,0.9894,0.0355,0.0647,7688,399,532,10847,XGB (no handling),3.77
test_original,0.9543,0.955,0.936,0.9454,0.9903,0.0323,0.064,7695,363,526,10883,XGB (no handling),3.77
test_balanced_50_50,0.9513,0.9656,0.936,0.9506,0.9901,0.0333,0.064,7695,274,526,7947,XGB (no handling),3.77
test_imbalanced_80_20,0.9608,0.8784,0.9331,0.905,0.9894,0.0323,0.0669,2623,363,188,10883,XGB (no handling),3.77
validation,0.828,0.8198,0.7597,0.7886,0.9045,0.1221,0.2403,6245,1373,1975,9873,SVM (no handling),3.74
test_original,0.8344,0.828,0.7673,0.7965,0.9075,0.1165,0.2327,6308,1310,1913,9936,SVM (no handling),3.74
test_balanced_50_50,0.8258,0.869,0.7673,0.815,0.9073,0.1157,0.2327,6308,951,1913,7270,SVM (no handling),3.74
test_imbalanced_80_20,0.8586,0.6195,0.7588,0.6821,0.9073,0.1165,0.2412,2133,1310,678,9936,SVM (no handling),3.74
validation,0.8207,0.7715,0.8176,0.7939,0.9085,0.177,0.1824,6721,1991,1499,9255,LR (weighted),2.1
test_original,0.8284,0.7805,0.8261,0.8026,0.9114,0.1698,0.1739,6791,1910,1430,9336,LR (weighted),2.1
test_balanced_50_50,0.829,0.8309,0.8261,0.8285,0.911,0.1681,0.1739,6791,1382,1430,6839,LR (weighted),2.1
test_imbalanced_80_20,0.8283,0.5471,0.8207,0.6565,0.911,0.1698,0.1793,2307,1910,504,9336,LR (weighted),2.1
validation,0.957,0.9546,0.9431,0.9488,0.9913,0.0328,0.0569,7752,369,468,10877,RF (weighted),37.6
test_original,0.9584,0.9562,0.9448,0.9504,0.9918,0.0317,0.0552,7767,356,454,10890,RF (weighted),37.6
test_balanced_50_50,0.9565,0.9675,0.9448,0.956,0.9918,0.0317,0.0552,7767,261,454,7960,RF (weighted),37.6
test_imbalanced_80_20,0.9632,0.8816,0.9427,0.9111,0.9914,0.0317,0.0573,2650,356,161,10890,RF (weighted),37.6
validation,0.9525,0.943,0.9445,0.9438,0.9895,0.0417,0.0555,7764,469,456,10777,XGB (weighted),4.31
test_original,0.9563,0.9478,0.9488,0.9483,0.9905,0.0382,0.0512,7800,430,421,10816,XGB (weighted),4.31
test_balanced_50_50,0.955,0.9607,0.9488,0.9547,0.9904,0.0388,0.0512,7800,319,421,7902,XGB (weighted),4.31
test_imbalanced_80_20,0.9585,0.8607,0.9452,0.901,0.9899,0.0382,0.0548,2657,430,154,10816,XGB (weighted),4.31
validation,0.8286,0.8194,0.7619,0.7896,0.9047,0.1227,0.2381,6263,1380,1957,9866,SVM (weighted),3.72
test_original,0.835,0.8273,0.7701,0.7977,0.9077,0.1176,0.2299,6331,1322,1890,9924,SVM (weighted),3.72
test_balanced_50_50,0.8268,0.8686,0.7701,0.8164,0.9075,0.1165,0.2299,6331,958,1890,7263,SVM (weighted),3.72
test_imbalanced_80_20,0.8586,0.6188,0.7634,0.6835,0.9075,0.1176,0.2366,2146,1322,665,9924,SVM (weighted),3.72
validation,0.8209,0.7714,0.8185,0.7942,0.9084,0.1773,0.1815,6728,1994,1492,9252,LR (SMOTE),0.91
test_original,0.8284,0.7801,0.8267,0.8027,0.9114,0.1704,0.1733,6796,1916,1425,9330,LR (SMOTE),0.91
