model,dataset,accuracy,precision,recall,f1,auc_roc,fpr,fnr
Stacking Ensemble,test_balanced_50_50,0.9576,0.969,0.9455,0.9571,0.9918,0.0303,0.0545
RF (weighted),test_balanced_50_50,0.9565,0.9675,0.9448,0.956,0.9918,0.0317,0.0552
RF (no handling),test_balanced_50_50,0.9563,0.971,0.9408,0.9556,0.9919,0.0281,0.0592
XGB (weighted),test_balanced_50_50,0.955,0.9607,0.9488,0.9547,0.9904,0.0388,0.0512
XGB (no handling),test_balanced_50_50,0.9513,0.9656,0.936,0.9506,0.9901,0.0333,0.064
LR (weighted),test_balanced_50_50,0.829,0.8309,0.8261,0.8285,0.911,0.1681,0.1739
LR (SMOTE),test_balanced_50_50,0.8287,0.8301,0.8267,0.8284,0.911,0.1692,0.1733
SVM (SMOTE),test_balanced_50_50,0.8262,0.8293,0.8214,0.8253,0.9079,0.1691,0.1786
LR (no handling),test_balanced_50_50,0.8335,0.8692,0.7852,0.8251,0.9111,0.1181,0.2148
SVM (weighted),test_balanced_50_50,0.8268,0.8686,0.7701,0.8164,0.9075,0.1165,0.2299
SVM (no handling),test_balanced_50_50,0.8258,0.869,0.7673,0.815,0.9073,0.1157,0.2327
RF (no handling),test_imbalanced_80_20,0.9652,0.893,0.9385,0.9152,0.9914,0.0281,0.0615
Stacking Ensemble,test_imbalanced_80_20,0.9647,0.8873,0.9434,0.9145,0.9911,0.03,0.0566
RF (weighted),test_imbalanced_80_20,0.9632,0.8816,0.9427,0.9111,0.9914,0.0317,0.0573
XGB (no handling),test_imbalanced_80_20,0.9608,0.8784,0.9331,0.905,0.9894,0.0323,0.0669
XGB (weighted),test_imbalanced_80_20,0.9585,0.8607,0.9452,0.901,0.9899,0.0382,0.0548
LR (no handling),test_imbalanced_80_20,0.8614,0.6226,0.7787,0.692,0.9112,0.118,0.2213
SVM (weighted),test_imbalanced_80_20,0.8586,0.6188,0.7634,0.6835,0.9075,0.1176,0.2366
SVM (no handling),test_imbalanced_80_20,0.8586,0.6195,0.7588,0.6821,0.9073,0.1165,0.2412
LR (weighted),test_imbalanced_80_20,0.8283,0.5471,0.8207,0.6565,0.911,0.1698,0.1793
LR (SMOTE),test_imbalanced_80_20,0.828,0.5465,0.8214,0.6563,0.9111,0.1704,0.1786
SVM (SMOTE),test_imbalanced_80_20,0.8268,0.5448,0.8161,0.6534,0.9078,0.1705,0.1839
Stacking Ensemble,test_original,0.9597,0.9584,0.9455,0.9519,0.9918,0.03,0.0545
RF (no handling),test_original,0.9588,0.9607,0.9408,0.9506,0.9919,0.0281,0.0592
RF (weighted),test_original,0.9584,0.9562,0.9448,0.9504,0.9918,0.0317,0.0552
XGB (weighted),test_original,0.9563,0.9478,0.9488,0.9483,0.9905,0.0382,0.0512
XGB (no handling),test_original,0.9543,0.955,0.936,0.9454,0.9903,0.0323,0.064
LR (no handling),test_original,0.8411,0.8295,0.7852,0.8067,0.9115,0.118,0.2148
LR (SMOTE),test_original,0.8284,0.7801,0.8267,0.8027,0.9114,0.1704,0.1733
LR (weighted),test_original,0.8284,0.7805,0.8261,0.8026,0.9114,0.1698,0.1739
SVM (SMOTE),test_original,0.8261,0.7789,0.8214,0.7996,0.908,0.1705,0.1786
SVM (weighted),test_original,0.835,0.8273,0.7701,0.7977,0.9077,0.1176,0.2299
SVM (no handling),test_original,0.8344,0.828,0.7673,0.7965,0.9075,0.1165,0.2327
