threshold,precision,recall,f1,fnr
0.1,0.9101,0.9822,0.9448,0.0178
0.15,0.9238,0.9757,0.949,0.0243
0.2,0.932,0.9703,0.9508,0.0297
0.25,0.94,0.9657,0.9527,0.0343
0.3,0.9439,0.9613,0.9525,0.0387
0.35,0.9495,0.9578,0.9536,0.0422
0.4,0.9536,0.9543,0.9539,0.0457
0.45,0.9561,0.9505,0.9533,0.0495
0.5,0.9584,0.9455,0.9519,0.0545
0.55,0.9613,0.9404,0.9507,0.0596
0.6,0.9636,0.9364,0.9498,0.0636
0.65,0.9654,0.9294,0.9471,0.0706
0.7,0.9677,0.9228,0.9447,0.0772
0.75,0.9701,0.9159,0.9423,0.0841
0.8,0.9724,0.9076,0.9388,0.0924
0.85,0.9753,0.8931,0.9324,0.1069
0.9,0.9795,0.873,0.9232,0.127
